#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1520527958961283167,0.1498977228,-0.2962618877,-0.1083528415,1.1281158137,0.7194010731,10.4362631301
1520527958966299167,0.0971921254,-0.2561130192,-0.0925269278,1.1882441993,0.6582402285,10.3939003312
1520527958971316167,0.0409595469,-0.2217903058,-0.0778211252,1.2832470487,0.5778904210,10.4267561521
1520527958976331167,-0.0115050076,-0.1909736565,-0.0590908121,1.3181215123,0.5023418582,10.4927325793
1520527958981348167,-0.0627203756,-0.1671570278,-0.0377107277,1.2832470487,0.3920236554,10.5036389007
1520527958986363167,-0.1146960617,-0.1474171641,-0.0174425499,1.1269132460,0.2997020186,10.5273313323
1520527958991379167,-0.1639143606,-0.1299949103,-0.0017965709,0.9116536254,0.2517531668,10.5120411516
1520527958996395167,-0.2093772866,-0.1180856328,0.0056837917,0.8791842971,0.2073874999,10.4310503769
1520527959001410167,-0.2513229111,-0.1076355417,0.0144992342,0.8274738854,0.1258499785,10.4351196413
1520527959006428167,-0.2897498305,-0.0992346904,0.0273507695,0.6458861608,0.1090761552,10.4008770130
1520527959011442167,-0.3269309351,-0.0943102934,0.0328685549,0.5364524989,0.1018898357,10.3391934156
1520527959016459167,-0.3590964403,-0.0949107638,0.0348176706,0.5160088478,0.1126836918,10.3033554149
1520527959021475167,-0.3872592335,-0.1039379573,0.0285784723,0.5508833115,0.1102826948,10.2239925181
1520527959026490167,-0.4134133570,-0.1161783341,0.0255576371,0.7553198227,0.0191321004,10.0652020945
1520527959031507167,-0.4310138331,-0.1272760488,0.0322694779,0.8322841563,-0.0492248980,9.9552780915
1520527959036522167,-0.4413192139,-0.1351758765,0.0427798802,0.8479175366,-0.0552218177,9.8784302715
1520527959041538167,-0.4475993677,-0.1389911034,0.0519612086,0.8214610469,-0.0252412465,9.7240934033
1520527959046554167,-0.4491087093,-0.1433770306,0.0573415806,0.8767791617,-0.0240464145,9.5747993752
1520527959051570167,-0.4448281533,-0.1428180829,0.0668071988,0.9429203859,-0.0468352338,9.4300719643
1520527959056586167,-0.4365277452,-0.1448887619,0.0794918924,1.0246949904,-0.1044003430,9.3107934654
1520527959061601167,-0.4249491929,-0.1399707596,0.0943882399,1.0054539070,-0.1943343762,9.2308805139
1520527959066618167,-0.4078316890,-0.1295237550,0.1128336547,1.0283026935,-0.2506957557,9.1354172725
1520527959071634167,-0.3909657035,-0.1190761204,0.1310089904,0.9537434953,-0.3058504082,9.0931974493
1520527959076648167,-0.3705767750,-0.1022035360,0.1443568736,0.8334867240,-0.3454126762,9.0920822552
1520527959081666167,-0.3517003401,-0.0861940411,0.1533721536,0.6723426505,-0.3777769172,9.0564936984
1520527959086681167,-0.3368452078,-0.0681355033,0.1583522744,0.5111985769,-0.4545093539,9.0604613016
1520527959091697167,-0.3252664123,-0.0544373584,0.1589763819,0.5063883061,-0.5516393535,9.0884942932
1520527959096714167,-0.3111792860,-0.0418935690,0.1557992873,0.4234111339,-0.6295770185,9.0231357438
1520527959101729167,-0.2993540178,-0.0267158217,0.1480471208,0.3777135608,-0.6979244636,9.1131322727
1520527959106745167,-0.2892912677,-0.0121127914,0.1370472244,0.2887235500,-0.8118358729,9.1268931176
1520527959111759167,-0.2809958385,-0.0042152082,0.1270816477,0.2514439509,-0.9773143479,9.2052809881
1520527959116776167,-0.2747131716,0.0033967587,0.1146826686,0.1143512317,-1.1331919257,9.2904417434
1520527959121793167,-0.2671785819,0.0092681951,0.0995625584,-0.0516031127,-1.2351059366,9.2851835713
1520527959126808167,-0.2583888975,0.0171936556,0.0793153042,-0.1838855611,-1.2998492169,9.2714264004
1520527959131825167,-0.2440803968,0.0213485803,0.0533474182,-0.2800909782,-1.3741884304,9.2759217358
1520527959136840167,-0.2312877338,0.0220172264,0.0232974670,-0.2692678688,-1.3142322521,9.2769200673
1520527959141857167,-0.2152130963,0.0334669231,-0.0061352056,-0.2488242176,-1.2518785423,9.1987966307
1520527959146872167,-0.1913506571,0.0437570476,-0.0366734226,-0.2271779988,-1.1799318028,9.1345978619
1520527959151888167,-0.1687303280,0.0636579986,-0.0655126687,-0.1911009674,-1.0744102553,8.9714436548
1520527959156904167,-0.1428485675,0.0803586418,-0.0957351657,-0.1393905558,-1.0060632786,8.8871993203
1520527959161919167,-0.1154600647,0.0982341551,-0.1291981214,-0.1093263629,-0.9317189138,8.7985112543
1520527959166935167,-0.0873072018,0.1210511174,-0.1580254046,-0.0311594616,-0.8621748572,8.7186568151
1520527959171952167,-0.0578970136,0.1426950211,-0.1838879089,0.0963127160,-0.8358036958,8.6999581943
1520527959176966167,-0.0289839346,0.1643205171,-0.2029858324,0.2430259770,-0.7578709948,8.6612655639
1520527959181983167,-0.0035856166,0.1850551841,-0.2164024272,0.3813212639,-0.7422929402,8.7075521831
1520527959186999167,0.0255879271,0.2025525903,-0.2174053656,0.5340473635,-0.7087289032,8.7653022411
1520527959192016167,0.0517462338,0.2191695624,-0.2165155512,0.6531015671,-0.6751622436,8.8721900867
1520527959197031167,0.0789123663,0.2343147087,-0.2099572554,0.6314553482,-0.6068095536,8.9780892253
1520527959202048167,0.1015597696,0.2476864658,-0.1947464284,0.6037962908,-0.4725036720,9.0781718556
1520527959207063167,0.1219436015,0.2634051670,-0.1857361718,0.5208191186,-0.3094141119,9.2426827719
1520527959212078167,0.1403115896,0.2759214928,-0.1780993649,0.5208191186,-0.2362665461,9.3402315344
1520527959217095167,0.1549117143,0.2863820815,-0.1650602007,0.5124011447,-0.1175509885,9.4296827897
1520527959222111167,0.1629797827,0.2971271243,-0.1503834034,0.4835395195,-0.0204183664,9.4542740176
1520527959227125167,0.1667748458,0.3067027700,-0.1348959263,0.5376550666,0.0323395975,9.4746144303
1520527959232143167,0.1678089659,0.3189005218,-0.1196538535,0.4955651967,0.1102870031,9.5562981770
1520527959237159167,0.1638125773,0.3275989618,-0.1041585773,0.4246137016,0.1522624439,9.6138929022
1520527959242175167,0.1580539764,0.3351362735,-0.0905627476,0.3825238317,0.1942356368,9.6479638270
1520527959247190167,0.1527963932,0.3429717225,-0.0794005414,0.3211928783,0.2230197836,9.7194235019
1520527959252207167,0.1430167169,0.3554843056,-0.0744169204,0.3127749043,0.2254187201,9.7613402810
1520527959257222167,0.1236796366,0.3630439811,-0.0710766317,0.2827107115,0.2278193425,9.7964948874
1520527959262237167,0.1055918369,0.3659449101,-0.0688564296,0.2754953052,0.2338156065,9.8686121962
1520527959267254167,0.0842297976,0.3606734091,-0.0620931263,0.2730901698,0.2637943044,9.8825521003
1520527959272270167,0.0605860592,0.3437594811,-0.0605549179,0.3248005814,0.2470023111,9.9436587831
1520527959277284167,0.0369435948,0.3271340239,-0.0579323028,0.3296108523,0.2374088131,9.9308377341
1520527959282302167,0.0102803108,0.3073050692,-0.0564107246,0.3428390971,0.2278146595,9.9644205079
1520527959287318167,-0.0138636574,0.2892122944,-0.0500106489,0.3284082846,0.2002355536,9.9459935601
1520527959292333167,-0.0349925219,0.2714149994,-0.0446961344,0.2646721958,0.2098336410,9.8989566713
1520527959297349167,-0.0566268420,0.2521634985,-0.0404739855,0.1600488048,0.2578074064,9.8662260629
1520527959302365167,-0.0724753457,0.2387485085,-0.0386530226,0.0878947420,0.3141726259,9.8215497932
1520527959307380167,-0.0820429978,0.2273902403,-0.0422390841,0.0446023043,0.3297648231,9.8254424056
1520527959312396167,-0.0911071270,0.2171998923,-0.0466288244,0.0602356846,0.3417550098,9.7636849169
1520527959317413167,-0.0959036650,0.2032210339,-0.0502437614,0.0458048720,0.3261673082,9.6360047441
1520527959322429167,-0.0959236395,0.1883596946,-0.0500865928,0.1143512317,0.2578109654,9.5796212984
1520527959327443167,-0.0961948697,0.1732054154,-0.0493900889,0.1768847527,0.2098404782,9.5093307718
1520527959332461167,-0.0899388030,0.1513431108,-0.0455102999,0.2165694873,0.1774605960,9.4218152805
1520527959337476167,-0.0854448233,0.1259776752,-0.0394895537,0.3248005814,0.1702573240,9.3510402042
1520527959342492167,-0.0776815438,0.1006055068,-0.0304988701,0.3428390971,0.1726542000,9.3252951227
1520527959347508167,-0.0686634012,0.0728976555,-0.0196344835,0.3524596388,0.1798482932,9.2914922915
1520527959352524167,-0.0548678090,0.0472313664,-0.0087634031,0.3452442326,0.1894419786,9.2218245299
1520527959357540167,-0.0423318787,0.0192335089,0.0020922263,0.4029674828,0.1990306063,9.1805782941
1520527959362555167,-0.0282842859,-0.0067277083,0.0143133464,0.3969546442,0.2410009894,9.1341101343
1520527959367572167,-0.0154882554,-0.0274372121,0.0238713567,0.4137905922,0.2398005378,9.1211638494
1520527959372587167,0.0031006169,-0.0423335147,0.0396856497,0.3692955868,0.2565919691,9.0994998306
1520527959377602167,0.0221957445,-0.0522658854,0.0517491591,0.2851158469,0.2949710188,9.1153896371
1520527959382620167,0.0397890657,-0.0566574418,0.0619638863,0.1865052944,0.3309529117,9.1697729934
1520527959387635167,0.0596457112,-0.0572484583,0.0678745787,0.0698562263,0.3621396477,9.1174193592
1520527959392652167,0.0847880375,-0.0508405365,0.0724760945,0.0409946012,0.4017135295,9.1839038977
1520527959397668167,0.1046513791,-0.0432582177,0.0730381153,-0.0479954096,0.4233049880,9.2556398050
1520527959402683167,0.1282832348,-0.0365493040,0.0738570120,-0.0227414876,0.4292987232,9.3053603422
1520527959407699167,0.1486485586,-0.0292574444,0.0741453304,-0.0203363522,0.4041165870,9.3390636628
1520527959412715167,0.1654891477,-0.0251649086,0.0717102701,0.0349817626,0.3669389255,9.4117765489
1520527959417731167,0.1798127889,-0.0239872026,0.0692576462,0.0193483823,0.3777324069,9.4584039487
1520527959422747167,0.1901054009,-0.0292164325,0.0648697606,0.0722613617,0.3873214093,9.4323124045
1520527959427761167,0.1976233955,-0.0388029448,0.0550427449,0.1528333985,0.3525400618,9.4966421380
1520527959432779167,0.2018769595,-0.0501550695,0.0511604677,0.2791030083,0.3609242104,9.5907007260
1520527959437795167,0.2018572085,-0.0635536588,0.0491643845,0.4089803213,0.4304642397,9.6370166603
1520527959442810167,0.1985711411,-0.0778335090,0.0493320666,0.5568961500,0.4616303706,9.6808701498
1520527959447826167,0.1930257561,-0.0918294166,0.0519410854,0.5737320980,0.5431706081,9.7329232419
1520527959452842167,0.1889968713,-0.1008777524,0.0570200094,0.6194296711,0.5947300872,9.7533467593
1520527959457858167,0.1794409138,-0.1067135549,0.0586165585,0.6470887285,0.7134428350,9.7448267707
1520527959462873167,0.1711445751,-0.1099249474,0.0596896900,0.6314553482,0.8165701290,9.7530133810
1520527959467890167,0.1616013707,-0.1084856063,0.0648589130,0.5965808846,0.8657376025,9.7602777484
1520527959472905167,0.1535707970,-0.1041347429,0.0711297500,0.5797449366,0.9304924966,9.7452706035
1520527959477921167,0.1460390810,-0.1026982563,0.0776479686,0.6314553482,0.9796532265,9.7075307366
1520527959482937167,0.1359992967,-0.1004009839,0.0887768040,0.6242399420,1.0060348778,9.6866566503
1520527959487953167,0.1249421717,-0.1080155499,0.1014551967,0.5989860200,1.0228248106,9.6799132220
1520527959492969167,0.1136329089,-0.1173836206,0.1160145389,0.5761372334,1.0456102582,9.6591948095
1520527959497985167,0.1045885032,-0.1244197289,0.1305874652,0.5003754675,1.0204342099,9.7017939665
1520527959503001167,0.0950401043,-0.1279390238,0.1376127170,0.3921443734,1.0468237286,9.7016595522
1520527959508025167,0.0864910592,-0.1320239399,0.1384091001,0.3512570711,1.0576191768,9.6950741363
1520527959513033167,0.0786905476,-0.1384323526,0.1364808393,0.2454311124,1.0672205423,9.6937705387
1520527959518048167,0.0703889006,-0.1398699429,0.1280982030,0.2442285447,1.1343724997,9.7123110640
1520527959523064167,0.0656078169,-0.1380943692,0.1172985734,0.2237848935,1.1775431471,9.6996843702
1520527959528080167,0.0593232097,-0.1325284736,0.1054484607,0.3163826074,1.2087135863,9.7034012539
1520527959533096167,0.0532967188,-0.1225946254,0.0947134111,0.4330316756,1.3166271394,9.7381870855
1520527959538112167,0.0487832076,-0.1106285074,0.0869671277,0.5917706137,1.3621821124,9.7923804929
1520527959543128167,0.0447706592,-0.1024618464,0.0835197450,0.7144325204,1.4593029334,9.8027133002
1520527959548144167,0.0425254629,-0.0922730152,0.0868483042,0.7998148280,1.5444352536,9.8169070896
1520527959553160167,0.0412874770,-0.0838466660,0.0955725760,0.9008305159,1.6295663562,9.8971909185
1520527959558175167,0.0400513337,-0.0760118270,0.1075389523,0.9345024119,1.7290923889,9.9397654481
1520527959563192167,0.0373026419,-0.0731376716,0.1219052496,0.8924125419,1.8274251817,9.9075392085
1520527959568208167,0.0358063984,-0.0725911864,0.1351692450,0.8334867240,1.8885859326,9.9301338551
1520527959573224167,0.0380848319,-0.0670845883,0.1465702108,0.8130430729,1.9641333715,9.9407184683
1520527959578238167,0.0385954664,-0.0665256606,0.1555017381,0.7829788801,2.0180970321,9.9793092249
1520527959583255167,0.0391005221,-0.0668263178,0.1590156782,0.7072171142,2.0576745666,10.0090616541
1520527959588272167,0.0386011353,-0.0647882799,0.1595732650,0.7180402236,2.0888513747,9.9554672839
1520527959593286167,0.0413714520,-0.0595386332,0.1582554171,0.7204453590,2.0684658002,9.9787066317
1520527959598303167,0.0431351699,-0.0536993270,0.1542384233,0.6867734630,2.0193036653,9.9790823161
1520527959603319167,0.0446536657,-0.0414409185,0.1470242534,0.7168376559,1.9485520388,9.9823451126
1520527959608334167,0.0469332675,-0.0259864544,0.1433502338,0.7757634738,1.8706033219,10.0236847543
1520527959613351167,0.0477129956,-0.0047048906,0.1397234764,0.8443098334,1.8693988429,10.0532344782
1520527959618366167,0.0510050887,0.0133600448,0.1406668779,0.9789974173,1.9161548295,10.1146336812
1520527959623383167,0.0510317004,0.0308336468,0.1443173597,1.0956464854,1.9185440253,10.2238996277
1520527959628397167,0.0500557043,0.0471274767,0.1531011880,1.1617877096,1.9017509081,10.3406487597
1520527959633414167,0.0455620499,0.0628327886,0.1635103797,1.1341286523,1.9473203984,10.5105465584
1520527959638430167,0.0400654898,0.0808716966,0.1728570394,1.0884310792,1.9856964510,10.6283304711
1520527959643446167,0.0360777772,0.0992003946,0.1830147595,1.0343155321,1.9605187168,10.7079075436
1520527959648462167,0.0270581564,0.1160833126,0.1883008725,1.0198847195,1.9533249982,10.7382707631
1520527959653478167,0.0132575695,0.1294728446,0.1916753549,0.9777948496,1.9245489061,10.7875185503
1520527959658493167,0.0029788241,0.1478274900,0.1912934532,0.8827920002,1.9017726372,10.7408175651
1520527959663510167,-0.0062931383,0.1688115459,0.1884947792,0.8214610469,1.8514135161,10.7147343243
1520527959668526167,-0.0185840190,0.1915616666,0.1786808512,0.7180402236,1.8106507965,10.7146185727
1520527959673542167,-0.0301232456,0.2131487299,0.1680449929,0.6374681868,1.7986656674,10.6677666028
1520527959678556167,-0.0416647147,0.2335724404,0.1565886046,0.6326579159,1.8034626038,10.5364864788
1520527959683574167,-0.0547179325,0.2525451934,0.1426889882,0.6170245357,1.7806801533,10.4564729292
1520527959688590167,-0.0685230748,0.2700476167,0.1336494826,0.6903811662,1.7818735805,10.3534890834
1520527959693605167,-0.0805682040,0.2872549740,0.1262277623,0.7697506352,1.8034519265,10.3666412290
1520527959698621167,-0.0898581611,0.2948346132,0.1235973723,0.8058276666,1.8382241890,10.3348782797
1520527959703638167,-0.0921196663,0.2980527970,0.1184856547,0.8431072657,1.8753946387,10.3251820218
1520527959708652167,-0.0979015152,0.2980570884,0.1160614763,0.8322841563,1.9653310134,10.3542532658
1520527959713669167,-0.1011715246,0.2954318909,0.1165886277,0.8334867240,2.0684569961,10.3169523910
1520527959718685167,-0.1009304697,0.2904901073,0.1122216342,0.7841814478,2.1607946488,10.2952615240
1520527959723700167,-0.0994319956,0.2867165394,0.1070495618,0.7000017079,2.2723212644,10.3505928953
1520527959728715167,-0.0969237902,0.2879041865,0.0992079559,0.6218348065,2.3742542883,10.3710107774
1520527959733733167,-0.0951796429,0.2821004950,0.0905027584,0.5653141240,2.4258217285,10.2773769731
1520527959738748167,-0.0926930390,0.2675541061,0.0822705601,0.5713269626,2.4713885963,10.2435718383
1520527959743765167,-0.0897069149,0.2515546337,0.0726735833,0.4991728998,2.4917796031,10.1756877696
1520527959748780167,-0.0842083749,0.2349726483,0.0633380391,0.4691087070,2.4965785063,10.0923013539
1520527959753797167,-0.0782096562,0.2169353940,0.0534493542,0.4294239725,2.5505429161,10.0682299775
1520527959758811167,-0.0697028301,0.1962810342,0.0419127189,0.4534753267,2.6116972045,9.9923968830
1520527959763828167,-0.0594330937,0.1750292974,0.0360498342,0.4739189778,2.6224878761,9.9898630851
1520527959768843167,-0.0489080596,0.1549351845,0.0331713800,0.4799318164,2.6332796716,10.0072261951
1520527959773860167,-0.0353663890,0.1336679737,0.0335249835,0.4330316756,2.6716558179,10.0088074174
1520527959778874167,-0.0210691557,0.1115174352,0.0373876142,0.4065751859,2.6668613167,9.9556109841
1520527959783891167,-0.0060144152,0.0931602898,0.0393839236,0.3969546442,2.6656629256,9.9882458246
1520527959788907167,0.0067763972,0.0751023841,0.0381401059,0.3079646335,2.7040423499,9.9983717316
1520527959793923167,0.0183110684,0.0576282120,0.0363619761,0.1889104299,2.7136447457,10.0181154807
1520527959798939167,0.0275875707,0.0430684559,0.0340691859,0.1444154245,2.7604146876,9.9940979405
1520527959803954167,0.0351022643,0.0305659132,0.0250315770,0.1047306900,2.7891971485,9.9607539686
