#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520527960954532414,-0.1754270586,-0.0969034985,0.6393724074,0.9994432336,-0.0009830250,0.0009473169,-0.0333370519
1520527960962865414,-0.1753634969,-0.0999775820,0.6380129345,0.9994585297,0.0006170296,0.0015004423,-0.0328635885
1520527960971198414,-0.1750843205,-0.1033077704,0.6367367138,0.9995043113,0.0007928052,0.0024691549,-0.0313752513
1520527960979532414,-0.1751133377,-0.1067200134,0.6353158396,0.9994980656,0.0016566675,0.0032126952,-0.0314730194
1520527960987865414,-0.1749168881,-0.1100693342,0.6338717612,0.9995132739,0.0025910008,0.0029763443,-0.0309458126
1520527960996199414,-0.1746488363,-0.1135650653,0.6325561716,0.9995369606,0.0037045505,0.0036395095,-0.0299815705
1520527961004532414,-0.1746632369,-0.1170976360,0.6310575986,0.9995642142,0.0033375839,0.0037955612,-0.0290832586
1520527961012865414,-0.1742866862,-0.1205882640,0.6294607560,0.9996127504,0.0042656789,0.0034220430,-0.0272844787
1520527961021199414,-0.1745139802,-0.1246453684,0.6284944186,0.9995625609,0.0025750228,0.0034413846,-0.0292611170
1520527961029532414,-0.1744484080,-0.1281811653,0.6267152657,0.9995920082,0.0045280171,0.0037439222,-0.0279516952
1520527961037865414,-0.1742342843,-0.1319246118,0.6253086369,0.9995727458,0.0059731642,0.0037692148,-0.0283626541
1520527961046198414,-0.1744150438,-0.1358016967,0.6238285938,0.9996067836,0.0051629103,0.0053094493,-0.0270450050
1520527961054532414,-0.1751694948,-0.1397566119,0.6222548731,0.9995547710,0.0069096258,0.0070593172,-0.0281546248
1520527961087865414,-0.1746147883,-0.1562475150,0.6165606521,0.9996539149,0.0068114640,0.0080803272,-0.0240907184
1520527961129532414,-0.1745904538,-0.1768605633,0.6085135795,0.9996580550,0.0115755082,0.0066181487,-0.0224940188
1520527961137865414,-0.1749288840,-0.1813159265,0.6069850131,0.9996525768,0.0109201608,0.0062136031,-0.0231703886
1520527961146199414,-0.1746889416,-0.1860285891,0.6058418806,0.9996947376,0.0098613116,0.0056299181,-0.0219428855
1520527961154532414,-0.1753089018,-0.1897976933,0.6039440271,0.9997390747,0.0084936001,0.0077550540,-0.0197357664
1520527961162865414,-0.1753725236,-0.1946390238,0.6026740644,0.9997506766,0.0082392268,0.0065216587,-0.0197019744
1520527961171198414,-0.1756207450,-0.1991861822,0.6012875996,0.9997237888,0.0078558608,0.0051887385,-0.0215338949
1520527961179532414,-0.1756302049,-0.2029742447,0.5993004292,0.9996847197,0.0114166784,0.0043533945,-0.0219355544
1520527961187865414,-0.1762725689,-0.2078773535,0.5979872697,0.9997625236,0.0083475988,0.0048570140,-0.0195351835
1520527961196199414,-0.1769318974,-0.2118457321,0.5961155930,0.9996793818,0.0109172205,0.0020507375,-0.0227539528
1520527961204532414,-0.1772409553,-0.2166540390,0.5949225275,0.9996863024,0.0103785406,0.0024221668,-0.0226652992
1520527961212865414,-0.1770474883,-0.2211938319,0.5933915086,0.9997568487,0.0105544715,0.0008596534,-0.0193418627
1520527961221198414,-0.1775976372,-0.2261708344,0.5925219247,0.9997591523,0.0078902050,0.0008292167,-0.0204620242
1520527961229532414,-0.1778353647,-0.2306083637,0.5910177458,0.9997476563,0.0100420377,0.0008362085,-0.0200768987
1520527961237865414,-0.1779493024,-0.2344321084,0.5890360331,0.9997755637,0.0094142864,-0.0014582258,-0.0189226586
1520527961246198414,-0.1785227596,-0.2392291796,0.5877775032,0.9997540985,0.0086803552,-0.0030237892,-0.0201804512
1520527961254532414,-0.1788705958,-0.2421463332,0.5852166821,0.9996357469,0.0139502939,-0.0072467584,-0.0219373485
1520527961262865414,-0.1794242086,-0.2472441881,0.5840130932,0.9997131150,0.0112560536,-0.0068358699,-0.0200064925
1520527961271199414,-0.1801120198,-0.2518000663,0.5826987903,0.9997465108,0.0087653985,-0.0071270082,-0.0194753083
1520527961279532414,-0.1805421176,-0.2561279487,0.5813333527,0.9997494496,0.0096782867,-0.0085135802,-0.0182999358
1520527961287865414,-0.1812644049,-0.2601199718,0.5797257519,0.9997145007,0.0109341712,-0.0090540007,-0.0192194215
1520527961296198414,-0.1813282509,-0.2644849881,0.5782350422,0.9997606570,0.0128835712,-0.0089120880,-0.0152714425
1520527961304532414,-0.1819678605,-0.2702441050,0.5782273526,0.9998459637,0.0043160524,-0.0089201194,-0.0144862738
1520527961312865414,-0.1828932733,-0.2752940582,0.5774564132,0.9998452738,-0.0005549179,-0.0098944092,-0.0145334536
1520527961321199414,-0.1829462406,-0.2789521033,0.5762891872,0.9998631917,0.0023690031,-0.0114742377,-0.0116759411
1520527961329532414,-0.1833811543,-0.2829962629,0.5747088735,0.9998269568,0.0044704877,-0.0135365206,-0.0119513121
1520527961337865414,-0.1845882737,-0.2860488973,0.5728782263,0.9997499819,0.0079864025,-0.0149501540,-0.0145836872
1520527961346198414,-0.1849334210,-0.2899607137,0.5713341297,0.9996852005,0.0095198390,-0.0178891827,-0.0147935719
1520527961379532414,-0.1879148403,-0.3050251049,0.5678545317,0.9996090773,0.0118386099,-0.0193753065,-0.0163137208
1520527961387865414,-0.1886619996,-0.3090604790,0.5676495995,0.9996066315,0.0117757673,-0.0193317269,-0.0165589213
1520527961396199414,-0.1884363160,-0.3145469224,0.5677181439,0.9997743275,0.0075457671,-0.0175325422,-0.0093255263
1520527961404532414,-0.1894090680,-0.3178612004,0.5667230183,0.9996889674,0.0074385995,-0.0210409510,-0.0111316740
1520527961412865414,-0.1899490308,-0.3217975025,0.5664602697,0.9997020359,0.0060445471,-0.0210818689,-0.0107171683
1520527961421198414,-0.1906773901,-0.3259052859,0.5667290698,0.9997205079,0.0039400548,-0.0207953095,-0.0105326673
1520527961429532414,-0.1914924506,-0.3296414041,0.5665499007,0.9997256435,0.0037784954,-0.0205904188,-0.0105069229
1520527961437865414,-0.1921085028,-0.3326838139,0.5663066885,0.9997393383,0.0050684864,-0.0201101149,-0.0095472124
1520527961446199414,-0.1938254063,-0.3341855557,0.5649987385,0.9995836897,0.0110382478,-0.0217028729,-0.0154786874
1520527961454532414,-0.1936102540,-0.3370038569,0.5648769129,0.9994728117,0.0159159000,-0.0238818058,-0.0151803218
1520527961462865414,-0.1945602308,-0.3433581322,0.5668272688,0.9997716374,0.0009654896,-0.0185095706,-0.0106365698
1520527961471198414,-0.1953744107,-0.3465919649,0.5669450004,0.9997956990,0.0007915101,-0.0179850727,-0.0091908037
1520527961479532414,-0.1964235006,-0.3472827853,0.5664054940,0.9997061509,0.0094436661,-0.0169359556,-0.0145465626
1520527961487865414,-0.1968357766,-0.3498872842,0.5655862976,0.9996848769,0.0127158864,-0.0183958825,-0.0114037096
1520527961596198414,-0.2065837020,-0.3816733532,0.5752561536,0.9998576455,0.0049957267,-0.0134648934,-0.0088559652
1520527961604532414,-0.2076206310,-0.3817390523,0.5747937488,0.9997671064,0.0125865687,-0.0127039971,-0.0120797263
1520527961612865414,-0.2078313593,-0.3830232026,0.5754160676,0.9997891692,0.0122693660,-0.0130126694,-0.0100871317
1520527961621198414,-0.2081417805,-0.3859752769,0.5774935750,0.9998679904,0.0054577038,-0.0122719916,-0.0091440434
1520527961629532414,-0.2096251051,-0.3859721215,0.5776448534,0.9998136241,0.0087890388,-0.0113908142,-0.0128731997
1520527961637865414,-0.2097301623,-0.3876070742,0.5786398866,0.9998587955,0.0060687103,-0.0117571290,-0.0103600020
1520527961646199414,-0.2102264298,-0.3886460847,0.5794915661,0.9998694434,0.0037838062,-0.0110301445,-0.0111854770
1520527961654532414,-0.2109433395,-0.3895074122,0.5803874235,0.9998939416,0.0036589804,-0.0094624047,-0.0104489391
1520527961662865414,-0.2106427157,-0.3895207699,0.5801910572,0.9998675201,0.0075755745,-0.0112376546,-0.0090148797
1520527961671198414,-0.2118570645,-0.3904897243,0.5817573709,0.9998997146,0.0030765647,-0.0081560270,-0.0111613033
1520527961679532414,-0.2129969768,-0.3901505200,0.5817484268,0.9998747702,0.0054480698,-0.0062327341,-0.0134876052
1520527961687865414,-0.2132891580,-0.3899729556,0.5818459329,0.9998360662,0.0067387224,-0.0060282335,-0.0156872818
1520527961696199414,-0.2133381728,-0.3903670906,0.5826922931,0.9999002254,0.0040881886,-0.0047070006,-0.0126755707
1520527961704532414,-0.2149313966,-0.3896663367,0.5827670057,0.9998653828,0.0045707125,-0.0019511818,-0.0156370666
1520527961712865414,-0.2149751084,-0.3890921178,0.5828668958,0.9998929213,0.0039763879,0.0009063207,-0.0140539253
1520527961721198414,-0.2153989030,-0.3879827119,0.5828498399,0.9998593970,0.0059708446,0.0010720946,-0.0156328449
1520527961729532414,-0.2149530298,-0.3887136793,0.5839679800,0.9999371578,0.0005931050,0.0028435696,-0.0108278704
1520527961737865414,-0.2163951359,-0.3870315952,0.5836989546,0.9998689397,0.0025069422,0.0038304125,-0.0155288972
1520527961746198414,-0.2165867767,-0.3852026233,0.5837421208,0.9998331298,0.0049371663,0.0026024312,-0.0173943776
1520527961754532414,-0.2163720267,-0.3838735733,0.5839420915,0.9998494641,0.0072364698,0.0022954330,-0.0156017183
1520527961762865414,-0.2180235033,-0.3818163479,0.5835086089,0.9997581404,0.0067631534,0.0067506139,-0.0198078199
1520527961771199414,-0.2175114279,-0.3806037291,0.5840991859,0.9997780714,0.0057401923,0.0065962212,-0.0191663257
1520527961779532414,-0.2164811045,-0.3810462497,0.5852022671,0.9998637113,-0.0021614163,0.0052905414,-0.0154886205
1520527961787865414,-0.2181850099,-0.3815064071,0.5860393748,0.9996699735,-0.0180708839,0.0111501229,-0.0144589751
1520527961796198414,-0.2170009151,-0.3773047133,0.5851705532,0.9998439990,-0.0029175466,0.0075226655,-0.0157122605
1520527961837865414,-0.2174298184,-0.3637933503,0.5846909879,0.9997488683,0.0025115759,0.0065861247,-0.0212724073
1520527961846198414,-0.2173314793,-0.3606701901,0.5844231093,0.9997370836,0.0027674819,0.0071934715,-0.0215953387
1520527961854532414,-0.2179588427,-0.3579455092,0.5850233962,0.9996753078,0.0036342657,0.0066092411,-0.0243390415
1520527961862865414,-0.2174910376,-0.3550542267,0.5854934492,0.9996911999,0.0023487504,0.0074923092,-0.0235765460
1520527961871198414,-0.2169572940,-0.3522025841,0.5858347556,0.9996730505,0.0031150213,0.0064877596,-0.0245356405
1520527961879532414,-0.2160918212,-0.3505981186,0.5871157561,0.9997819947,-0.0007222871,0.0082302492,-0.0191756204
1520527961887865414,-0.2167983682,-0.3453077411,0.5867111619,0.9996128394,0.0053398079,0.0106942812,-0.0251254854
1520527961896199414,-0.2155665832,-0.3426187036,0.5876349848,0.9996159476,0.0018817602,0.0028411375,-0.0275017148
1520527961929532414,-0.2124723939,-0.3291397353,0.5909051856,0.9997106455,-0.0004967058,0.0030995546,-0.0238489261
1520527961937865414,-0.2117402647,-0.3250799418,0.5916500732,0.9996357503,-0.0004725687,-0.0002282363,-0.0269831681
1520527961946199414,-0.2111294873,-0.3210426563,0.5927572262,0.9996766282,0.0008074561,0.0019302907,-0.0253428685
1520527961954532414,-0.2107236559,-0.3150249337,0.5921242727,0.9993966135,0.0085686777,-0.0030933970,-0.0335174221
1520527961962865414,-0.2105567603,-0.3105457014,0.5931270749,0.9995730902,0.0083167994,0.0018183348,-0.0279492727
1520527961971198414,-0.2088060036,-0.3075144448,0.5943244359,0.9996184717,0.0051899827,0.0010950953,-0.0271067489
1520527961979532414,-0.2079931171,-0.3028457460,0.5951984293,0.9995600454,0.0057548421,-0.0011693350,-0.0290728399
1520527961987865414,-0.2081230690,-0.2979822583,0.5963362524,0.9994060087,0.0048165178,-0.0016451552,-0.0340840779
1520527961996198414,-0.2070188291,-0.2925437255,0.5970908386,0.9992588948,0.0070790508,-0.0037910943,-0.0376453953
1520527962004532414,-0.2053028121,-0.2883310202,0.5981600750,0.9992836174,0.0067002135,-0.0070993792,-0.0365644361
1520527962012865414,-0.2044951021,-0.2843191814,0.5998609187,0.9994013883,0.0060518166,-0.0051656901,-0.0336683260
1520527962021199414,-0.2033506915,-0.2799191524,0.6014878709,0.9993644586,0.0056811488,-0.0055034611,-0.0347579525
1520527962029532414,-0.2023740194,-0.2754373793,0.6027505318,0.9993811309,0.0044678590,-0.0054281935,-0.0344663340
1520527962037865414,-0.2015542938,-0.2706442926,0.6045333309,0.9993784161,0.0042524955,-0.0023981414,-0.0349134165
1520527962046198414,-0.2000839439,-0.2662883332,0.6059872231,0.9993503744,0.0038943580,-0.0047115337,-0.0355171044
1520527962054532414,-0.1992912056,-0.2614478400,0.6072937386,0.9993238657,0.0043748745,-0.0034773096,-0.0363397892
1520527962062865414,-0.1974836751,-0.2566621960,0.6091392817,0.9993062440,0.0064637413,-0.0041742664,-0.0364393497
1520527962071199414,-0.1962253955,-0.2519670726,0.6101341749,0.9993619016,0.0059827361,-0.0033381463,-0.0350550026
1520527962079532414,-0.1950889154,-0.2471323222,0.6117335132,0.9992728426,0.0053641802,-0.0049905709,-0.0374179871
1520527962087865414,-0.1935219922,-0.2418960617,0.6127192325,0.9993124457,0.0049534918,-0.0040764074,-0.0365168692
1520527962096198414,-0.1922822802,-0.2375405165,0.6144237425,0.9993400207,0.0059740248,-0.0022275890,-0.0357613191
1520527962104532414,-0.1908894297,-0.2325694748,0.6161813599,0.9993374336,0.0041121338,-0.0006074999,-0.0361581961
1520527962112865414,-0.1899141692,-0.2280992257,0.6178703801,0.9993405229,0.0012215895,-0.0016077231,-0.0362552371
1520527962121198414,-0.1885381134,-0.2239044007,0.6191706809,0.9992662946,0.0029149728,-0.0017092738,-0.0381504111
1520527962129532414,-0.1874867982,-0.2187340112,0.6204371299,0.9991471787,0.0041705881,-0.0016954904,-0.0410444494
1520527962137865414,-0.1860324501,-0.2142433824,0.6217711883,0.9991801795,0.0015507047,-0.0009884409,-0.0404423945
1520527962146199414,-0.1849328027,-0.2092357012,0.6230210031,0.9991963131,0.0035629566,-0.0011013364,-0.0399101524
1520527962154532414,-0.1836129615,-0.2040965125,0.6241297820,0.9992016089,0.0042563586,-0.0019017930,-0.0396788520
1520527962162865414,-0.1821793170,-0.1991828843,0.6254358309,0.9992111372,0.0050736666,-0.0016375607,-0.0393532665
1520527962171198414,-0.1810281390,-0.1945019605,0.6267968413,0.9991750502,0.0051741896,-0.0018881341,-0.0402353300
1520527962179532414,-0.1802824137,-0.1894107145,0.6281126264,0.9991012574,0.0051913184,-0.0012434619,-0.0420497495
1520527962187865414,-0.1789294719,-0.1848262470,0.6296060671,0.9990440509,0.0063719500,-0.0024063648,-0.0431809209
1520527962196199414,-0.1776881403,-0.1802321451,0.6309701913,0.9990606988,0.0056796021,-0.0022806775,-0.0428982614
1520527962204532414,-0.1767204053,-0.1753002757,0.6322888857,0.9989586492,0.0056902992,-0.0020598553,-0.0452216164
1520527962212865414,-0.1751191817,-0.1707368492,0.6334235898,0.9989702156,0.0062056879,-0.0027032435,-0.0448630156
1520527962221198414,-0.1740569225,-0.1657539622,0.6346032330,0.9989840498,0.0081746791,-0.0018078957,-0.0442806331
1520527962229532414,-0.1728603307,-0.1613413159,0.6358138139,0.9989761501,0.0076267194,-0.0025834646,-0.0445175289
1520527962237865414,-0.1717934204,-0.1569870638,0.6372180147,0.9989451911,0.0068286786,-0.0026515375,-0.0453303832
1520527962246198414,-0.1705061911,-0.1524695699,0.6384614969,0.9989043991,0.0079751207,-0.0034902903,-0.0459806130
1520527962254532414,-0.1694277759,-0.1480303493,0.6399902508,0.9988526265,0.0088004787,-0.0024539442,-0.0470102151
1520527962262865414,-0.1681957683,-0.1431135835,0.6409474004,0.9988511264,0.0103654096,-0.0022546673,-0.0467322383
1520527962271199414,-0.1670582423,-0.1386723816,0.6423378421,0.9988469025,0.0098969721,-0.0013487669,-0.0469584507
1520527962279532414,-0.1658992188,-0.1342230168,0.6435473571,0.9988044763,0.0111805183,-0.0009362021,-0.0475787529
1520527962287865414,-0.1645802346,-0.1297996809,0.6446711590,0.9987731118,0.0124845438,-0.0009099323,-0.0479122049
1520527962296198414,-0.1634990314,-0.1257452932,0.6460022432,0.9987425650,0.0117785151,-0.0003777617,-0.0487279459
1520527962304532414,-0.1624489175,-0.1215909305,0.6470929099,0.9987361788,0.0119678313,0.0007235158,-0.0488087354
1520527962312865414,-0.1613958402,-0.1174567083,0.6483910797,0.9987221893,0.0125851901,0.0001280985,-0.0489447152
1520527962321199414,-0.1601757683,-0.1135472437,0.6492994693,0.9986523305,0.0140146632,0.0009496457,-0.0499620879
1520527962329532414,-0.1592151303,-0.1095698250,0.6504674668,0.9986140264,0.0149347964,0.0008810676,-0.0504599027
1520527962337865414,-0.1581727601,-0.1058809613,0.6515714402,0.9986190988,0.0141732646,0.0009244519,-0.0505782515
1520527962346198414,-0.1573359870,-0.1019279667,0.6525706385,0.9985561563,0.0158293794,0.0012444064,-0.0513174914
1520527962354532414,-0.1562988270,-0.0983142425,0.6540975404,0.9986257967,0.0149267261,0.0012095136,-0.0502219889
1520527962362865414,-0.1553370926,-0.0946617323,0.6553364992,0.9985922919,0.0159867482,0.0008710943,-0.0505677718
1520527962371198414,-0.1543779104,-0.0911141267,0.6563761235,0.9985639474,0.0158415270,0.0010222826,-0.0511668235
1520527962379532414,-0.1535002984,-0.0878539733,0.6574626808,0.9985261157,0.0160686476,0.0013029533,-0.0518237119
1520527962387865414,-0.1525122260,-0.0844449882,0.6584875278,0.9984938927,0.0163660776,0.0020188177,-0.0523261139
1520527962396199414,-0.1518367978,-0.0808411615,0.6594229930,0.9984406723,0.0180430775,0.0018874347,-0.0527930748
